物品ID,物品名称,模型路径
41526,"A1战术半指护手","chara/equipment/e0834/model/c0101e0834_glv.mdl"
41524,"A1战术护目镜","chara/equipment/e0834/model/c0101e0834_met.mdl"
41525,"A1战术运动上装","chara/equipment/e0834/model/c0101e0834_top.mdl"
41527,"A1战术运动裤","chara/equipment/e0834/model/c0101e0834_dwn.mdl"
41528,"A1战术运动鞋","chara/equipment/e0834/model/c0101e0834_sho.mdl"
41531,"A2战术半指护手","chara/equipment/e0834/model/c0101e0834_glv.mdl"
41529,"A2战术护目镜","chara/equipment/e0834/model/c0101e0834_met.mdl"
41530,"A2战术运动上装","chara/equipment/e0834/model/c0101e0834_top.mdl"
41532,"A2战术运动裤","chara/equipment/e0834/model/c0101e0834_dwn.mdl"
41533,"A2战术运动鞋","chara/equipment/e0834/model/c0101e0834_sho.mdl"
41534,"B1战术半假面","chara/equipment/e0835/model/c0101e0835_met.mdl"
41536,"B1战术护臂","chara/equipment/e0835/model/c0101e0835_glv.mdl"
41535,"B1战术运动服","chara/equipment/e0835/model/c0101e0835_top.mdl"
41537,"B1战术运动裤","chara/equipment/e0835/model/c0101e0835_dwn.mdl"
41538,"B1战术运动鞋","chara/equipment/e0835/model/c0101e0835_sho.mdl"
41539,"B2战术半假面","chara/equipment/e0835/model/c0101e0835_met.mdl"
41541,"B2战术护臂","chara/equipment/e0835/model/c0101e0835_glv.mdl"
41540,"B2战术运动服","chara/equipment/e0835/model/c0101e0835_top.mdl"
41542,"B2战术运动裤","chara/equipment/e0835/model/c0101e0835_dwn.mdl"
41543,"B2战术运动鞋","chara/equipment/e0835/model/c0101e0835_sho.mdl"
41544,"C1战术兜帽","chara/equipment/e0836/model/c0101e0836_met.mdl"
41546,"C1战术手套","chara/equipment/e0836/model/c0101e0836_glv.mdl"
41545,"C1战术运动服","chara/equipment/e0836/model/c0101e0836_top.mdl"
41547,"C1战术运动裤","chara/equipment/e0836/model/c0101e0836_dwn.mdl"
41548,"C1战术长靴","chara/equipment/e0836/model/c0101e0836_sho.mdl"
41549,"C2战术兜帽","chara/equipment/e0836/model/c0101e0836_met.mdl"
41551,"C2战术手套","chara/equipment/e0836/model/c0101e0836_glv.mdl"
41550,"C2战术运动服","chara/equipment/e0836/model/c0101e0836_top.mdl"
41552,"C2战术运动裤","chara/equipment/e0836/model/c0101e0836_dwn.mdl"
41553,"C2战术长靴","chara/equipment/e0836/model/c0101e0836_sho.mdl"
15215,"F型波动炮 - 主手","chara/weapon/w2001/obj/body/b0037/model/w2001b0037.mdl"
15215,"F型波动炮 - 副手","chara/weapon/w2099/obj/body/b0001/model/w2099b0001.mdl"
0,"SmallClothes Body","chara/equipment/e0000/model/c0101e0000_top.mdl"
0,"SmallClothes Body (NPC)","chara/equipment/e9903/model/c0101e9903_top.mdl"
0,"SmallClothes Feet","chara/equipment/e0000/model/c0101e0000_sho.mdl"
0,"SmallClothes Feet (NPC)","chara/equipment/e9903/model/c0101e9903_sho.mdl"
0,"SmallClothes Feet 2 (NPC)","chara/equipment/e9901/model/c0101e9901_sho.mdl"
0,"SmallClothes Hands","chara/equipment/e0000/model/c0101e0000_glv.mdl"
0,"SmallClothes Hands (NPC)","chara/equipment/e9903/model/c0101e9903_glv.mdl"
0,"SmallClothes Legs","chara/equipment/e0000/model/c0101e0000_dwn.mdl"
0,"SmallClothes Legs (NPC)","chara/equipment/e9903/model/c0101e9903_dwn.mdl"
50289,"エッグハントチキン・グラス","chara/equipment/e5073/model/c0101e5073_met.mdl"
50286,"クワトロ・エッググラス","chara/equipment/e5070/model/c0101e5070_met.mdl"
50288,"スプリガン・グラス","chara/equipment/e5072/model/c0101e5072_met.mdl"
50287,"スリムフレーム・エッググラス","chara/equipment/e5071/model/c0101e5071_met.mdl"
50285,"デコレート・エッググラス","chara/equipment/e5069/model/c0101e5069_met.mdl"
50290,"フラワーデコレート・グラス","chara/equipment/e5074/model/c0101e5074_met.mdl"
30238,"一灵真性","chara/weapon/w1701/obj/body/b0082/model/w1701b0082.mdl"
30795,"一灵真性·回忆","chara/weapon/w1701/obj/body/b0082/model/w1701b0082.mdl"
32697,"一灵真性·回忆（复制品）","chara/weapon/w1701/obj/body/b0082/model/w1701b0082.mdl"
31641,"一灵真性（复制品）","chara/weapon/w1701/obj/body/b0082/model/w1701b0082.mdl"
21328,"一贯斋 - 主手","chara/weapon/w2001/obj/body/b0052/model/w2001b0052.mdl"
21328,"一贯斋 - 副手","chara/weapon/w2099/obj/body/b0001/model/w2099b0001.mdl"
21406,"一贯斋·改 - 主手","chara/weapon/w2001/obj/body/b0052/model/w2001b0052.mdl"
21406,"一贯斋·改 - 副手","chara/weapon/w2099/obj/body/b0001/model/w2099b0001.mdl"
2051,"七公六杖","chara/weapon/w0803/obj/body/b0001/model/w0803b0001.mdl"
22032,"七天上装","chara/equipment/e0323/model/c0101e0323_top.mdl"
22107,"七天上装+1","chara/equipment/e0323/model/c0101e0323_top.mdl"
22182,"七天上装+2","chara/equipment/e0323/model/c0101e0323_top.mdl"
22257,"七天上装·常风","chara/equipment/e0323/model/c0101e0323_top.mdl"
22033,"七天半指护手","chara/equipment/e0323/model/c0101e0323_glv.mdl"
22108,"七天半指护手+1","chara/equipment/e0323/model/c0101e0323_glv.mdl"
22183,"七天半指护手+2","chara/equipment/e0323/model/c0101e0323_glv.mdl"
22258,"七天半指护手·常风","chara/equipment/e0323/model/c0101e0323_glv.mdl"
22031,"七天头冠","chara/equipment/e0323/model/c0101e0323_met.mdl"
22106,"七天头冠+1","chara/equipment/e0323/model/c0101e0323_met.mdl"
22181,"七天头冠+2","chara/equipment/e0323/model/c0101e0323_met.mdl"
22256,"七天头冠·常风","chara/equipment/e0323/model/c0101e0323_met.mdl"
22034,"七天打底裤","chara/equipment/e0323/model/c0101e0323_dwn.mdl"
22109,"七天打底裤+1","chara/equipment/e0323/model/c0101e0323_dwn.mdl"
22184,"七天打底裤+2","chara/equipment/e0323/model/c0101e0323_dwn.mdl"
22259,"七天打底裤·常风","chara/equipment/e0323/model/c0101e0323_dwn.mdl"
22035,"七天长靴","chara/equipment/e0323/model/c0101e0323_sho.mdl"
22110,"七天长靴+1","chara/equipment/e0323/model/c0101e0323_sho.mdl"
22185,"七天长靴+2","chara/equipment/e0323/model/c0101e0323_sho.mdl"
22260,"七天长靴·常风","chara/equipment/e0323/model/c0101e0323_sho.mdl"
22037,"七狱外套","chara/equipment/e0324/model/c0101e0324_top.mdl"
22112,"七狱外套+1","chara/equipment/e0324/model/c0101e0324_top.mdl"
22187,"七狱外套+2","chara/equipment/e0324/model/c0101e0324_top.mdl"
